;;Lac;Pyr;Gly;Ala;Ser;Pro;Val;Thr;Cys;Ile;Leu;Asn;Asp;Gln;Glu;Met;His;Phe;Arg;Tyr;Trp;Lys;AMP ;ADP;ATP;GMP;GDP;GTP;CMP;CDP;CTP;IMP;UMP;UDP;UTP;UDP-Glc-NAc+UDP-Gal-NAc;Fum;Suc;IA;Mal;aKG;Cit;PEP;GL3P;2PG+3PG;R5P+RL5P+X5P;GA6P;GAL1P;G1P+M1P;F1P;G6P;F6P;M6P;6PG;S7P;F1.6BP;PRPP
WT_Exp_Comp_A;WT_Exp_Comp;1104.736842;827.8947368;363.2468421;405.2128947;345.4415789;75.47026316;142.9978947;196.9276316;8.056842105;16.36631579;93.87710526;107.7242105;184.9044737;531.9010526;3192.546842;55.92026316;69.35894737;61.43289474;54.18552632;177.2797368;17.85105263;322.3615789;801.95;1288.627895;2663.358947;79.31368421;265.3186842;965.8747368;142.5389474;175.4336842;176.4731579;290.9944737;3728.506579;437.4978947;935.5713158;652.6207895;270.8263158;1951.857105;83.33657895;321.7405263;173.4665789;129.8247368;89.13315789;205.9523684;404.605;258.035;138.5986842;12.79973684;32.14394737;39.82578947;917.8007895;778.0381579;177.105;91.07894737;80.84894737;1471.342895;115.7139474
WT_Exp_Comp_B;WT_Exp_Comp;577.3684211;787.8947368;520.1334211;644.4476316;477.4584211;112.8447368;158.4760526;305.3205263;9.096315789;18.09236842;91.24894737;215.5939474;276.3386842;817.6286842;5906.130263;82.76368421;99.14921053;80.71105263;79.25657895;234.5965789;26.93236842;415.3292105;752.9357895;1511.608947;4643.736579;43.61342105;286.0665789;1645.612632;144.5542105;166.4836842;289.4042105;282.7481579;4682.843684;350.26;1319.866053;1065.810526;339.4865789;2991.839211;117.8897368;634.7760526;340.7755263;217.1018421;135.4405263;94.37605263;651.8555263;327.3457895;210.0726316;19.80368421;72.19526316;57.53842105;811.1847368;778.4510526;289.6031579;169.2315789;140.7473684;2560.938684;350.8657895
WT_Exp_Comp_C;WT_Exp_Comp;416.3157895;864.4736842;506.8671053;618.6647368;433.6994737;100.1689474;120.1784211;268.1142105;10.35131579;18.86421053;102.3942105;176.77;223.0363158;446.5268421;5713.961842;71.54105263;100.1176316;85.71;62.72473684;200.0147368;16.90710526;400.425;903.335;1679.933421;4457.518158;51.42815789;328.0584211;1558.610526;143.8592105;156.8263158;254.2918421;301.4560526;3625.731053;414.3673684;1427.775789;1099.369737;362.5452632;3028.1;81.35921053;1012.785263;738.4494737;304.7657895;122.9131579;109.3039474;581.8431579;227.7123684;175.5773684;19.06078947;63.24921053;51.33210526;775.3939474;757.1855263;295.5486842;111.0415789;119.7957895;1852.579737;165.7063158
WT_Exp_Comp_D;WT_Exp_Comp;823.4210526;712.1052632;461.5455263;714.7013158;480.4431579;110.6078947;148.2531579;340.8081579;11.11447368;21.43973684;95.95736842;229.9131579;362.8581579;965.8284211;6682.806579;86.39421053;105.165;74.61736842;119.7276316;228.1871053;26.50657895;450.9523684;819.1207895;1626.460789;4790.102895;38.77368421;306.4405263;1681.173421;143.7452632;137.9315789;262.3376316;272.4357895;3882.042895;299.0781579;1146.897895;1075.585789;307.5213158;2823.665;58.68447368;782.6878947;479.7568421;225.3960526;106.6360526;117.7592105;635.5797368;290.7084211;241.3110526;23.47894737;67.99815789;58.305;930.7660526;980.3492105;327.1489474;177.6613158;140.9192105;2988.898421;390.7907895
WT_Exp_N_A;WT_Exp_N;685.380117;453.2163743;279.8345029;304.9233918;200.7871345;54.6745614;128.8888889;188.875731;10.35730994;26.45964912;107.8839181;52.31345029;98.26315789;159.1251462;3463.402632;64.65906433;61.22339181;57.52982456;276.274269;112.5368421;9.979532164;355.5093567;710.8035088;1124.982749;2702.12193;31.96169591;196.2511696;977.1049708;265.9921053;269.7842105;404.4263158;223.6950292;8814.644444;643.8195906;2151.715497;683.0883041;358.8839181;3386.686842;93.83333333;665.5064327;1798.197661;216.5362573;108.5932749;58.72865497;276.525731;194.9587719;74.61988304;24.84122807;62.34649123;43.00643275;564.3695906;522.7555556;225.548538;104.7614035;113.4169591;876.2567251;386.748538
WT_Exp_N_B;WT_Exp_N;827.4853801;438.3040936;307.3187135;425.0754386;256.0362573;61.80233918;164.1602339;226.9850877;9.915789474;33.04824561;137.1567251;90.10350877;148.3;302.1675439;5216.425731;71.84532164;58.80730994;71.65350877;310.6087719;138.3821637;14.89269006;383.5137427;685.6570175;1213.367836;2959.471053;29.34736842;195.9818713;1041.409649;309.7549708;317.4061404;497.4769006;212.2067251;8598.936257;619.4122807;2234.587719;754.8818713;394.4684211;3399.630702;127.5821637;801.9862573;2058.246784;258.4260234;118.7172515;82.15818713;327.6710526;201.1596491;102.6055556;25.87105263;68.16725146;39.25789474;825.0061404;682.9073099;320.0002924;127.9804094;137.3491228;1008.42807;841.8339181
WT_Exp_N_C;WT_Exp_N;804.6783626;908.1871345;341.9374269;481.1789474;263.7906433;61.12397661;152.8754386;224.7114035;10.1745614;34.81081871;144.7292398;109.5479532;167.9883041;346.8590643;6066.590643;79.06666667;65.14152047;72.88508772;322.5233918;131.4415205;17.37222222;388.005848;1109.346199;1524.142398;2349.188012;47.96929825;310.0725146;870.0573099;392.2403509;529.7233918;425.8280702;280.752924;8541.318421;1094.894737;1906.632749;793.1666667;422.0523392;3007.227485;120.5403509;951.0114035;2691.658772;251.7646199;152.6230994;64.27865497;460.1535088;216.2687135;117.7289474;26.43625731;79.11052632;43.6128655;725.8476608;692.1494152;308.5154971;113.4508772;140.3976608;1244.165205;960.8730994
WT_Exp_N_D;WT_Exp_N;890.3508772;667.251462;387.002924;809.9315789;321.0312865;78.63596491;233.3918129;336.8654971;13.60321637;49.07339181;206.6245614;226.197076;295.0090643;1236.638596;9610.781871;94.13245614;83.65526316;102.194152;380.2938596;198.1982456;30.21374269;424.2634503;793.5997076;1440.803509;3270.051462;36.47251462;274.7365497;1128.339474;409.8976608;421.5491228;564.1070175;244.2807018;9227.860526;782.8812865;2300.342982;818.3859649;380.9961988;2870.677193;111.7280702;720.5950292;1822.438889;292.9736842;169.6345029;66.2125731;496.3959064;231.9684211;213.6140351;31.75467836;82.72222222;46.33567251;848.3681287;813.8035088;336.955848;149.1959064;164.5312865;1405.54386;1475.504386
WT_Stat_Comp_A;WT_Stat_Comp;812.3684211;654.4736842;670.93;497.0813158;619.8473684;146.0660526;104.4168421;274.0336842;9.295789474;11.80815789;55.55578947;316.0994737;460.6347368;2342.977105;8833.362105;63.52210526;75.52947368;66.51736842;169.5923684;202.4571053;27.08578947;403.0781579;688.3868421;1127.749211;3092.552368;43.46657895;186.67;991.6397368;159.6660526;200.0928947;339.9857895;239.5165789;4165.575263;571.7042105;2016.875789;902.3739474;302.0068421;2960.988421;54.02973684;395.2123684;268.2684211;138.4392105;104.3434211;96.32421053;528.8578947;352.7486842;163.2073684;19.53710526;58.31315789;39.98315789;768.2265789;722.6757895;239.8223684;150.6244737;119.3244737;2286.312105;711.1923684
WT_Stat_Comp_B;WT_Stat_Comp;738.1578947;868.4210526;1017.140789;824.7723684;693.5563158;215.8707895;95.44026316;341.2334211;9.941578947;16.81447368;60.97184211;456.6434211;570.4810526;2625.356579;15542.73632;82.26;100.8484211;91.41921053;108.4765789;248.2592105;34.27631579;531.2176316;799.8360526;1523.040789;4172.044211;42.45789474;277.0113158;1376.051316;128.2007895;173.6065789;302.9321053;277.7192105;3441.550789;358.9273684;1326.77;1198.428947;393.4452632;3595.848421;81.24157895;717.2857895;446.3026316;245.2247368;180.77;78.32342105;701.695;343.4747368;196.1678947;18.27578947;70.69368421;42.13342105;788.8042105;791.5957895;300.9594737;183.8313158;154.3081579;2703.686579;529.5826316
WT_Stat_Comp_C;WT_Stat_Comp;366.3157895;798.1578947;845.4939474;893.3952632;623.0713158;215.6728947;80.40263158;368.5905263;9.998421053;15.68736842;56.99184211;479.7005263;539.405;2089.593947;16935.00474;86.79;96.59947368;99.37342105;96.15710526;248.7836842;30.47947368;544.4168421;798.4331579;1620.990789;5422.852368;37.50473684;306.7734211;1888.718421;129.6994737;149.3642105;313.1260526;283.2934211;3478.832368;285.5057895;1174.843684;1257.135526;416.6065789;3878.558421;80.56763158;1013.459474;942.6807895;360.3663158;175.0560526;74.66842105;743.8371053;323.9442105;243.4139474;21.29842105;83.05263158;47.29105263;872.0026316;882.1484211;341.7655263;184.1378947;166.9589474;2902.974474;422.1597368
WT_Stat_Comp_D;WT_Stat_Comp;900;652.1052632;588.0002632;795.9515789;591.9394737;184.2165789;99.01157895;371.1807895;9.786052632;17.42894737;62.52842105;378.5863158;531.5513158;1818.350526;14296.50158;74.73763158;96.79763158;83.635;83.25842105;223.0010526;30.66947368;546.2268421;843.3155263;1712.480789;4760.978947;47.02394737;363.85;1751.938684;122.3607895;156.0194737;237.0671053;318.5960526;3199.649737;258.5194737;892.9047368;983.5328947;377.4134211;3794.022632;59.17447368;896.6076316;773.7786842;273.3971053;142.4592105;150.8744737;644.4755263;302.1568421;235.3039474;16.86236842;75.88078947;48.61552632;1260.118421;1081.177632;352.4807895;195.7515789;153.0247368;2774.363158;357.5231579
WT_Stat_N_A;WT_Stat_N;671.8421053;407.1052632;252.3571053;353.5915789;243.5823684;52.53894737;105.4405263;192.4947368;9.089210526;25.89684211;99.67736842;58.35947368;112.045;283.4415789;5247.734211;53.30684211;62.05236842;70.27368421;265.0189474;135.9523684;14.635;756.8002632;555.5757895;835.8978947;1974.906053;20.08815789;125.9534211;624.5834211;204.9613158;156.6976316;276.4642105;160.8876316;7490.187632;531.7123684;1856.106316;480.2607895;331.3726316;2996.644211;50.06947368;680.0297368;2129.610789;248.8571053;108.2157895;53.13236842;334.8202632;217.535;73.10342105;29.66263158;58.09631579;36.22052632;531.7842105;519.8244737;238.8589474;111.2173684;108.8007895;1269.106579;1362.558947
WT_Stat_N_B;WT_Stat_N;912.3684211;286.5789474;321.1805263;497.4863158;305.8773684;69.56657895;133.1473684;282.1757895;9.135;42.61710526;142.2271053;114.6192105;156.7307895;353.9463158;7398.512368;62.35894737;90.65210526;92.09;399.8044737;182.8936842;22.79684211;884.9239474;688.8271053;1103.580263;2486.303421;26.32710526;174.0131579;842.6431579;287.8421053;252.23;407.8902632;184.8257895;10471.705;534.6692105;1821.136842;394.0742105;380.8865789;4133.68315799999;74.31131579;829.0439474;2624.942632;328.7834211;171.9989474;64.10657895;401.3126316;258.9786842;135.0010526;30.44131579;70.57526316;42.32263158;720.6652632;747.5176316;302.4065789;139.8928947;131.0871053;1387.54;2947.539474
