locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMMJGDOI_00001	CDS	249				hypothetical protein
NMMJGDOI_00001	gene	249				
NMMJGDOI_00002	CDS	168				hypothetical protein
NMMJGDOI_00002	gene	168				
NMMJGDOI_00003	CDS	99				hypothetical protein
NMMJGDOI_00003	gene	99				
NMMJGDOI_00004	CDS	663				hypothetical protein
NMMJGDOI_00004	gene	663				
NMMJGDOI_00005	CDS	234				hypothetical protein
NMMJGDOI_00005	gene	234				
NMMJGDOI_00006	CDS	297				hypothetical protein
NMMJGDOI_00006	gene	297				
NMMJGDOI_00007	CDS	243				hypothetical protein
NMMJGDOI_00007	gene	243				
NMMJGDOI_00008	CDS	336				hypothetical protein
NMMJGDOI_00008	gene	336				
NMMJGDOI_00009	CDS	1230				hypothetical protein
NMMJGDOI_00009	gene	1230				
NMMJGDOI_00010	CDS	981				hypothetical protein
NMMJGDOI_00010	gene	981				
NMMJGDOI_00011	CDS	177				hypothetical protein
NMMJGDOI_00011	gene	177				
NMMJGDOI_00012	CDS	861	pstC2		COG0573	Phosphate transport system permease protein PstC 2
NMMJGDOI_00012	gene	861	pstC2			
NMMJGDOI_00013	CDS	159				hypothetical protein
NMMJGDOI_00013	gene	159				
NMMJGDOI_00014	CDS	177				hypothetical protein
NMMJGDOI_00014	gene	177				
NMMJGDOI_00015	CDS	534	pstA		COG0581	Phosphate transport system permease protein PstA
NMMJGDOI_00015	gene	534	pstA			
NMMJGDOI_00016	CDS	369	pstB	3.6.3.27		Phosphate import ATP-binding protein PstB
NMMJGDOI_00016	gene	369	pstB			
NMMJGDOI_00017	CDS	549	pstB3	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB 3
NMMJGDOI_00017	gene	549	pstB3			
NMMJGDOI_00018	CDS	219				hypothetical protein
NMMJGDOI_00018	gene	219				
NMMJGDOI_00019	CDS	117				hypothetical protein
NMMJGDOI_00019	gene	117				
NMMJGDOI_00020	CDS	402				hypothetical protein
NMMJGDOI_00020	gene	402				
NMMJGDOI_00021	CDS	474	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
NMMJGDOI_00021	gene	474	msrA			
NMMJGDOI_00022	CDS	1335	eno	4.2.1.11		Enolase
NMMJGDOI_00022	gene	1335	eno			
NMMJGDOI_00023	CDS	213				hypothetical protein
NMMJGDOI_00023	gene	213				
NMMJGDOI_00024	CDS	351	atpB			ATP synthase subunit a
NMMJGDOI_00024	gene	351	atpB			
NMMJGDOI_00025	CDS	318	atpE			ATP synthase subunit c, sodium ion specific
NMMJGDOI_00025	gene	318	atpE			
NMMJGDOI_00026	CDS	210	atpF_1			ATP synthase subunit b
NMMJGDOI_00026	gene	210	atpF_1			
NMMJGDOI_00027	CDS	375	atpF_2			ATP synthase subunit b
NMMJGDOI_00027	gene	375	atpF_2			
NMMJGDOI_00028	CDS	537	atpH		COG0712	ATP synthase subunit delta
NMMJGDOI_00028	gene	537	atpH			
NMMJGDOI_00029	CDS	1557	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
NMMJGDOI_00029	gene	1557	atpA			
NMMJGDOI_00030	CDS	348	atpG_1		COG0224	ATP synthase gamma chain
NMMJGDOI_00030	gene	348	atpG_1			
NMMJGDOI_00031	CDS	435	atpG_2		COG0224	ATP synthase gamma chain, sodium ion specific
NMMJGDOI_00031	gene	435	atpG_2			
NMMJGDOI_00032	CDS	1428	atpD	3.6.3.15	COG0055	ATP synthase subunit beta, sodium ion specific
NMMJGDOI_00032	gene	1428	atpD			
NMMJGDOI_00033	CDS	402	atpC			ATP synthase epsilon chain
NMMJGDOI_00033	gene	402	atpC			
NMMJGDOI_00034	CDS	1710				hypothetical protein
NMMJGDOI_00034	gene	1710				
